,intensidadeVentoKM,temperatura,radiacao,idDireccVento,precAcumulada,intensidadeVento,humidade,pressao
26341,20.2,12.5,321.0,7,0.0,5.6,82.0,1019.9
26342,6.1,15.5,-99.0,3,0.0,1.7,76.0,-99.0
26343,10.8,-99.0,157.5,5,0.8,3.0,-99.0,-99.0
26344,23.4,10.9,299.3,7,0.1,6.5,90.0,-99.0
26345,32.4,9.5,129.2,6,0.0,9.0,99.0,-99.0
26346,13.0,13.7,215.2,8,0.8,3.6,88.0,-99.0
26347,-99.0,9.8,278.8,3,0.2,-99.0,99.0,-99.0
26348,28.8,11.0,243.3,6,0.0,8.0,95.0,-99.0
26349,18.4,14.9,442.6,6,0.0,5.1,84.0,1023.5
26350,8.3,8.8,80.9,7,0.2,2.3,99.0,-99.0
26351,18.7,11.8,245.3,6,0.0,5.2,99.0,-99.0
26352,-99.0,9.1,-99.0,0,0.5,-99.0,99.0,-99.0
26353,9.0,12.0,446.2,6,0.0,2.5,95.0,-99.0
26354,1.8,16.3,287.3,4,0.1,0.5,86.0,-99.0
26355,9.7,14.3,-99.0,6,0.2,2.7,99.0,-99.0
26356,6.8,12.5,-99.0,7,0.0,1.9,76.0,-99.0
26357,16.2,14.7,391.9,6,0.0,4.5,93.0,1022.1
26358,8.3,-99.0,-99.0,5,0.0,2.3,-99.0,1024.5
26359,18.4,15.4,483.2,6,0.0,5.1,92.0,-99.0
26360,3.2,14.3,244.5,5,0.1,0.9,-99.0,-99.0
26361,8.3,14.6,270.1,6,0.1,2.3,93.0,-99.0
26362,18.0,15.5,-99.0,6,0.0,5.0,88.0,-99.0
26363,6.1,13.7,356.8,6,0.0,1.7,100.0,-99.0
26364,12.2,12.3,326.6,6,0.1,3.4,-99.0,-99.0
26365,9.0,15.3,497.0,6,0.0,2.5,86.0,1023.4
26366,3.6,13.5,256.3,5,0.0,1.0,100.0,-99.0
26367,2.9,15.0,398.1,6,0.0,0.8,92.0,-99.0
26368,5.8,15.2,139.2,3,0.0,1.6,89.0,-99.0
26369,5.8,-99.0,452.1,5,0.0,1.6,-99.0,-99.0
26370,14.0,14.5,731.6,6,0.0,3.9,100.0,1023.6
26371,10.8,14.8,352.6,6,0.0,3.0,93.0,-99.0
26372,24.1,15.2,30.1,9,0.0,6.7,66.0,1032.5
26373,5.4,15.2,70.6,2,0.0,1.5,60.0,1033.2
26374,8.3,16.8,-99.0,2,0.0,2.3,80.0,1031.0
26375,4.7,-99.0,-99.0,7,0.0,1.3,100.0,-99.0
26376,25.9,14.7,-99.0,2,0.0,7.2,92.0,1031.1
26377,19.1,16.4,82.7,9,0.0,5.3,71.0,1031.2
26378,28.1,15.3,90.9,2,0.0,7.8,83.0,-99.0
26379,25.2,16.1,-99.0,1,0.0,7.0,80.0,1030.0
26380,18.7,16.4,299.9,8,0.0,5.2,91.0,1029.6
26381,24.5,-99.0,172.9,8,0.0,6.8,-99.0,-99.0
26382,5.8,17.6,-99.0,1,0.0,1.6,59.0,1028.9
26383,5.4,14.2,295.1,6,0.0,1.5,92.0,-99.0
26384,2.5,19.4,759.4,4,0.0,0.7,53.0,-99.0
26385,9.4,17.4,-99.0,2,0.0,2.6,67.0,1028.6
26386,-99.0,12.0,441.6,0,0.0,-99.0,95.0,-99.0
26387,7.9,15.3,437.3,5,0.0,2.2,88.0,-99.0
26388,23.4,15.9,396.0,6,0.0,6.5,76.0,-99.0
26389,3.6,14.8,619.4,6,0.0,1.0,90.0,-99.0
26390,7.6,15.1,353.2,5,0.0,2.1,92.0,-99.0
26391,31.0,10.4,-99.0,6,1.5,8.6,98.0,-99.0
26392,11.9,11.8,-99.0,6,-99.0,3.3,99.0,-99.0
26393,-99.0,11.3,-99.0,0,-99.0,-99.0,94.0,-99.0
26394,14.4,11.5,-99.0,6,-99.0,4.0,97.0,-99.0
26395,-99.0,8.1,-99.0,0,-99.0,-99.0,100.0,-99.0
26396,12.2,12.0,-99.0,6,0.0,3.4,-99.0,-99.0
26397,11.5,10.1,-99.0,6,1.1,3.2,100.0,-99.0
